VARIABLES = "X", "Y", "Z"
Zone T="vol0" I=10 J=2 K=6
DATAPACKING=POINT
-0.010000 -0.045000 0.000000 
0.082222 -0.045000 0.000000 
0.174444 -0.045000 0.000000 
0.266667 -0.045000 0.000000 
0.358889 -0.045000 0.000000 
0.451111 -0.045000 0.000000 
0.543333 -0.045000 0.000000 
0.635556 -0.045000 0.000000 
0.727778 -0.045000 0.000000 
0.820000 -0.045000 0.000000 
-0.010000 0.045000 0.000000 
0.082222 0.045000 0.000000 
0.174444 0.045000 0.000000 
0.266667 0.045000 0.000000 
0.358889 0.045000 0.000000 
0.451111 0.045000 0.000000 
0.543333 0.045000 0.000000 
0.635556 0.045000 0.000000 
0.727778 0.045000 0.000000 
0.820000 0.045000 0.000000 
0.132000 -0.042000 0.246000 
0.216444 -0.042000 0.246000 
0.300889 -0.042000 0.246000 
0.385333 -0.042000 0.246000 
0.469778 -0.042000 0.246000 
0.554222 -0.042000 0.246000 
0.638667 -0.042000 0.246000 
0.723111 -0.042000 0.246000 
0.807556 -0.042000 0.246000 
0.892000 -0.042000 0.246000 
0.132000 0.042000 0.246000 
0.216444 0.042000 0.246000 
0.300889 0.042000 0.246000 
0.385333 0.042000 0.246000 
0.469778 0.042000 0.246000 
0.554222 0.042000 0.246000 
0.638667 0.042000 0.246000 
0.723111 0.042000 0.246000 
0.807556 0.042000 0.246000 
0.892000 0.042000 0.246000 
0.274000 -0.039000 0.492000 
0.350667 -0.039000 0.492000 
0.427333 -0.039000 0.492000 
0.504000 -0.039000 0.492000 
0.580667 -0.039000 0.492000 
0.657333 -0.039000 0.492000 
0.734000 -0.039000 0.492000 
0.810667 -0.039000 0.492000 
0.887333 -0.039000 0.492000 
0.964000 -0.039000 0.492000 
0.274000 0.039000 0.492000 
0.350667 0.039000 0.492000 
0.427333 0.039000 0.492000 
0.504000 0.039000 0.492000 
0.580667 0.039000 0.492000 
0.657333 0.039000 0.492000 
0.734000 0.039000 0.492000 
0.810667 0.039000 0.492000 
0.887333 0.039000 0.492000 
0.964000 0.039000 0.492000 
0.416000 -0.036000 0.738000 
0.484889 -0.036000 0.738000 
0.553778 -0.036000 0.738000 
0.622667 -0.036000 0.738000 
0.691556 -0.036000 0.738000 
0.760444 -0.036000 0.738000 
0.829333 -0.036000 0.738000 
0.898222 -0.036000 0.738000 
0.967111 -0.036000 0.738000 
1.036000 -0.036000 0.738000 
0.416000 0.036000 0.738000 
0.484889 0.036000 0.738000 
0.553778 0.036000 0.738000 
0.622667 0.036000 0.738000 
0.691556 0.036000 0.738000 
0.760444 0.036000 0.738000 
0.829333 0.036000 0.738000 
0.898222 0.036000 0.738000 
0.967111 0.036000 0.738000 
1.036000 0.036000 0.738000 
0.558000 -0.033000 0.984000 
0.619111 -0.033000 0.984000 
0.680222 -0.033000 0.984000 
0.741333 -0.033000 0.984000 
0.802444 -0.033000 0.984000 
0.863556 -0.033000 0.984000 
0.924667 -0.033000 0.984000 
0.985778 -0.033000 0.984000 
1.046889 -0.033000 0.984000 
1.108000 -0.033000 0.984000 
0.558000 0.033000 0.984000 
0.619111 0.033000 0.984000 
0.680222 0.033000 0.984000 
0.741333 0.033000 0.984000 
0.802444 0.033000 0.984000 
0.863556 0.033000 0.984000 
0.924667 0.033000 0.984000 
0.985778 0.033000 0.984000 
1.046889 0.033000 0.984000 
1.108000 0.033000 0.984000 
0.700000 -0.030000 1.230000 
0.753333 -0.030000 1.230000 
0.806667 -0.030000 1.230000 
0.860000 -0.030000 1.230000 
0.913333 -0.030000 1.230000 
0.966667 -0.030000 1.230000 
1.020000 -0.030000 1.230000 
1.073333 -0.030000 1.230000 
1.126667 -0.030000 1.230000 
1.180000 -0.030000 1.230000 
0.700000 0.030000 1.230000 
0.753333 0.030000 1.230000 
0.806667 0.030000 1.230000 
0.860000 0.030000 1.230000 
0.913333 0.030000 1.230000 
0.966667 0.030000 1.230000 
1.020000 0.030000 1.230000 
1.073333 0.030000 1.230000 
1.126667 0.030000 1.230000 
1.180000 0.030000 1.230000 
